Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median,Minimum,Maximum,Sample Size
double_tco_order,2.3590746524656394,423895.02127659577,118400.01578591925,0.6589237006155781,0.2793144760920937,413042.0,271400,766474,47
double_tco,2.0808621031511088,480570.04761904763,134272.61502557868,0.5813986899142121,0.27940279609772484,459075.5,283284,805759,42
double,0.9828001617885627,1017500.85,174467.87153979813,0.16851784681675672,0.17146705237621976,1066514.5,347380,1130988,20
Enum.map,0.868507568174949,1151400.4444444445,166885.52074974502,0.12588264881199157,0.14494133778997104,1199042.0,530085,1252412,18
