Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median,Minimum,Maximum,Sample Size
double,390.0269184730973,2563.925597532768,348.3636089641079,52.9934195606866,0.13587118491243805,2472.0,2243,5397,7782
double_tco_order,353.3624147460561,2829.955757231991,697.6619130719812,87.11355209333713,0.24652749827946835,2727.0,2026,9156,7052
double_tco,352.7230277876995,2835.085665577497,703.3484612989499,87.50606793698091,0.2480871988591852,2729.0,2025,7344,7039
Enum.map,247.88763428811805,4034.0858585858587,487.5245138638701,29.95754246082005,0.12085129839917956,3890.0,3587,11330,4950
