Name,Iterations per Second,Average,Standard Deviation,Standard Deviation Iterations Per Second,Standard Deviation Ratio,Median,Minimum,Maximum,Sample Size
double_tco_order,26.938948296461376,37120.97402597403,9169.081305167518,6.6540658936677,0.24700540720595834,35866.0,25252,66582,539
double_tco,26.861477909510736,37228.03351955307,9272.848141247945,6.690721533103681,0.24908240550437935,35759.0,25255,67446,537
double,11.093597330300817,90142.08558558559,5287.954515797538,0.6507774666862632,0.05866243809920371,89769.5,31489,111255,222
Enum.map,9.539820534498665,104823.77486910994,5254.296383778052,0.47818392916013047,0.05012504453630793,104491.0,48124,120477,191
